,count,mean,std,min,25%,50%,75%,max
precision,30.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
recall,30.0,0.5697554535840197,0.04687663116550433,0.4545454545454545,0.5406386066763424,0.5725359911406422,0.6064331843020367,0.6440677966101694
f1,30.0,0.7247968008538975,0.038803005150543676,0.625,0.7018292682926829,0.7281683833407971,0.7550057758952637,0.7835051546391752
fpr,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tp,30.0,69.13333333333334,11.382785954763184,55.0,59.25,70.0,76.75,96.0
tn,30.0,178.7,16.613559065642324,143.0,171.25,178.5,190.75,203.0
fp,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fn,30.0,52.166666666666664,8.765462528203138,36.0,48.0,51.0,57.0,69.0
episode_precision,30.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
episode_recall,30.0,0.9952994429766174,0.009616617447630467,0.9743589743589745,1.0,1.0,1.0,1.0
episode_f1,30.0,0.9976215112914275,0.004866597480198766,0.987012987012987,1.0,1.0,1.0,1.0
episode_fpr,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode_tp,30.0,39.03333333333333,5.9334431088902155,29.0,35.0,39.0,42.75,52.0
episode_tn,30.0,178.7,16.613559065642324,143.0,171.25,178.5,190.75,203.0
episode_fp,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
episode_fn,30.0,0.2,0.40683810217248634,0.0,0.0,0.0,0.0,1.0
seed,30.0,2026081415.5,8.803408430829505,2026081401.0,2026081408.25,2026081415.5,2026081422.75,2026081430.0
n,30.0,300.0,0.0,300.0,300.0,300.0,300.0,300.0
mean_us,30.0,7.621088777777782,0.7676327752763896,6.707106666666669,7.077463333333332,7.492656666666665,8.16408333333333,10.369993333333335
policy_version,30.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
